title,link,salary,requirements,town
Python,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
Python-developer,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Москва
,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
Python-developer,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Москва
,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
Python-developer,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Москва
,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
Python-developer,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Москва
,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
Python-developer,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Москва
,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
Python-developer,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Москва
,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
Python-developer,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Москва
,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
Python-developer,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Москва
,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
Python-developer,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Москва
,https://hh.ru/vacancy/123456,200000-250000,Опыт от 3х лет...,Астрахань
